vcc	V(vce)	I(R1)
Step Information: Vbb=800m  (Run: 1/4)
1.019999999999998e+001	7.419652e+000	2.780348e-003
1.029999999999998e+001	7.515192e+000	2.784808e-003
1.039999999999998e+001	7.610732e+000	2.789268e-003
1.049999999999998e+001	7.706272e+000	2.793728e-003
1.059999999999998e+001	7.801811e+000	2.798188e-003
1.069999999999998e+001	7.897351e+000	2.802649e-003
1.079999999999998e+001	7.992891e+000	2.807109e-003
1.089999999999998e+001	8.088431e+000	2.811569e-003
1.099999999999998e+001	8.183971e+000	2.816029e-003
1.109999999999998e+001	8.279511e+000	2.820489e-003
1.119999999999998e+001	8.375051e+000	2.824948e-003
1.129999999999998e+001	8.470592e+000	2.829408e-003
1.139999999999998e+001	8.566133e+000	2.833868e-003
1.149999999999998e+001	8.661673e+000	2.838328e-003
1.159999999999998e+001	8.757213e+000	2.842787e-003
1.169999999999997e+001	8.852754e+000	2.847247e-003
1.179999999999997e+001	8.948294e+000	2.851706e-003
1.189999999999997e+001	9.043835e+000	2.856166e-003
1.200000000000000e+001	9.139375e+000	2.860625e-003
Step Information: Vbb=1  (Run: 2/4)
0.000000000000000e+000	-1.725724e-003	1.725724e-006
1.000000000000000e-001	1.142949e-002	8.857051e-005
2.000000000000000e-001	2.105795e-002	1.789420e-004
3.000000000000000e-001	2.865527e-002	2.713447e-004
4.000000000000000e-001	3.498290e-002	3.650171e-004
5.000000000000000e-001	4.037444e-002	4.596256e-004
6.000000000000000e-001	4.512155e-002	5.548784e-004
7.000000000000000e-001	4.938349e-002	6.506165e-004
7.999999999999999e-001	5.326565e-002	7.467344e-004
8.999999999999999e-001	5.684477e-002	8.431553e-004
9.999999999999999e-001	6.017784e-002	9.398222e-004
1.100000000000000e+000	6.330822e-002	1.036692e-003
1.200000000000000e+000	6.626968e-002	1.133730e-003
1.300000000000000e+000	6.908912e-002	1.230911e-003
1.400000000000000e+000	7.178833e-002	1.328212e-003
1.500000000000000e+000	7.438529e-002	1.425615e-003
1.600000000000000e+000	7.689501e-002	1.523105e-003
1.700000000000000e+000	7.933030e-002	1.620670e-003
1.800000000000001e+000	8.170216e-002	1.718298e-003
1.900000000000001e+000	8.402022e-002	1.815980e-003
2.000000000000000e+000	8.629300e-002	1.913707e-003
2.100000000000001e+000	8.852817e-002	2.011472e-003
2.200000000000001e+000	9.073268e-002	2.109267e-003
2.300000000000001e+000	9.291296e-002	2.207087e-003
2.400000000000001e+000	9.507506e-002	2.304925e-003
2.500000000000001e+000	9.722468e-002	2.402775e-003
2.600000000000001e+000	9.936738e-002	2.500633e-003
2.700000000000001e+000	1.015086e-001	2.598491e-003
2.800000000000001e+000	1.036537e-001	2.696346e-003
2.900000000000001e+000	1.058081e-001	2.794192e-003
3.000000000000001e+000	1.079776e-001	2.892022e-003
3.100000000000001e+000	1.101679e-001	2.989832e-003
3.200000000000002e+000	1.123852e-001	3.087615e-003
3.300000000000002e+000	1.146363e-001	3.185364e-003
3.400000000000002e+000	1.169285e-001	3.283072e-003
3.500000000000002e+000	1.192698e-001	3.380730e-003
3.600000000000002e+000	1.216693e-001	3.478331e-003
3.700000000000002e+000	1.241372e-001	3.575863e-003
3.800000000000002e+000	1.266855e-001	3.673315e-003
3.900000000000002e+000	1.293281e-001	3.770672e-003
4.000000000000002e+000	1.320815e-001	3.867919e-003
4.100000000000001e+000	1.349655e-001	3.965035e-003
4.200000000000001e+000	1.380047e-001	4.061995e-003
4.300000000000001e+000	1.412295e-001	4.158771e-003
4.400000000000000e+000	1.446787e-001	4.255321e-003
4.500000000000000e+000	1.484030e-001	4.351597e-003
4.600000000000000e+000	1.524704e-001	4.447530e-003
4.699999999999999e+000	1.569749e-001	4.543025e-003
4.799999999999999e+000	1.620520e-001	4.637948e-003
