v1	V(vo)	I(D1)
5.999999999999812e-001	5.342706e-001	5.482167e-005
6.999999999999812e-001	5.707847e-001	1.077296e-004
7.999999999999812e-001	5.951810e-001	1.706918e-004
8.999999999999812e-001	6.127399e-001	2.393848e-004
9.999999999999811e-001	6.262788e-001	3.115770e-004
1.099999999999981e+000	6.368262e-001	3.860613e-004
1.199999999999981e+000	6.454805e-001	4.621340e-004
1.299999999999981e+000	6.527915e-001	5.393584e-004
1.399999999999982e+000	6.590751e-001	6.174482e-004
1.499999999999982e+000	6.645589e-001	6.962077e-004
1.599999999999982e+000	6.694080e-001	7.754977e-004
1.699999999999982e+000	6.737435e-001	8.552167e-004
1.799999999999982e+000	6.776562e-001	9.352885e-004
1.899999999999982e+000	6.812162e-001	1.015655e-003
1.999999999999982e+000	6.844777e-001	1.096270e-003
2.099999999999982e+000	6.874843e-001	1.177097e-003
2.199999999999982e+000	6.902709e-001	1.258108e-003
2.299999999999982e+000	6.928658e-001	1.339279e-003
2.399999999999982e+000	6.952927e-001	1.420590e-003
2.499999999999982e+000	6.975711e-001	1.502024e-003
2.599999999999982e+000	6.997175e-001	1.583569e-003
2.699999999999982e+000	7.017458e-001	1.665212e-003
2.799999999999983e+000	7.036681e-001	1.746943e-003
2.899999999999983e+000	7.054946e-001	1.828755e-003
2.999999999999983e+000	7.072343e-001	1.910638e-003
3.099999999999983e+000	7.088949e-001	1.992588e-003
3.199999999999983e+000	7.104832e-001	2.074597e-003
3.299999999999983e+000	7.120052e-001	2.156662e-003
3.399999999999983e+000	7.134662e-001	2.238778e-003
3.499999999999983e+000	7.148710e-001	2.320941e-003
3.599999999999983e+000	7.162237e-001	2.403147e-003
3.699999999999983e+000	7.175281e-001	2.485393e-003
3.799999999999983e+000	7.187876e-001	2.567677e-003
3.899999999999984e+000	7.200052e-001	2.649996e-003
3.999999999999984e+000	7.211837e-001	2.732347e-003
4.099999999999984e+000	7.223257e-001	2.814729e-003
4.199999999999983e+000	7.234333e-001	2.897139e-003
4.299999999999983e+000	7.245087e-001	2.979576e-003
4.399999999999983e+000	7.255538e-001	3.062038e-003
4.499999999999982e+000	7.265702e-001	3.144525e-003
4.599999999999982e+000	7.275597e-001	3.227034e-003
4.699999999999982e+000	7.285237e-001	3.309564e-003
4.799999999999981e+000	7.294636e-001	3.392114e-003
4.899999999999981e+000	7.303805e-001	3.474683e-003
5.000000000000000e+000	7.312757e-001	3.557270e-003
